Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil,A,B,C,D,E,F,G,H,I,J,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,Similar_StScaled_H,Similar_StScaled_I,Similar_StScaled_J,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,ID
0,F. Álvarez,ARG1,51,F. Álvarez,Argentinos Juniors,Argentinos Juniors,RCB,RCB,4,26.0,0,2029-12-31,18,1815,Argentina,Argentina,right,180,72,no,8.88,4.910160000000001,4.263926000000001,4.016334,18.8424,8.625,0.99375,0.4000150000000001,2.83,6.447012,ARG1,Testing,2026,1.0,1.0,1.0,49,87,94,69,95,97,81,90,98,98,8.88,4.910160000000001,4.263926000000001,4.016334,18.8424,8.625,0.99375,0.4000150000000001,2.83,6.447012,-0.1118092829904683,1.062928252074477,1.727520899552436,0.5178688602700544,2.448609040296978,2.012039671084941,0.6772690713656434,1.403669268100346,3.284533977047094,2.883193722377249,0.4554873134592747,0.8560927551266083,0.9579629224740235,0.697725115104379,0.9928295492432688,0.9778921223581949,0.7508823747004754,0.9197913210627618,0.9994892440977133,0.9980316736957248,IJEF
1,I. Vázquez,ARG1,33,I. Vázquez,Platense,Platense,RCB,RCB,4,29.0,1700000,2028-12-31,11,1082,Argentina,Argentina,right,184,80,no,10.73,4.495146,2.994795,5.158818,13.723862,7.072948,0.748446,0.16665,1.0,4.324374,ARG1,Testing,2026,0.9580856348588922,0.9572786033946495,0.957682119126771,81,73,61,88,77,84,60,59,72,84,10.73,4.495146,2.994795,5.158818,13.723862,7.072948,0.748446,0.16665,1.0,4.324374,1.027535117381759,0.6423335693009502,0.3438287890854084,1.491615354844825,0.6648850229833373,1.097351368386821,0.1134217461494491,-0.02000840629943086,0.3085263087226246,1.089568225806309,0.8479157208903332,0.7396716887764521,0.6345124759176262,0.9320999947389307,0.7469379820963333,0.8637560881916865,0.5451518999893706,0.4920183333257738,0.6211590577497774,0.8620483069919044,DFJA
2,E. Martínez,ARG1,42,E. Martínez,Gimnasia La Plata,Gimnasia La Plata,LCB,LCB,4,28.0,750000,2028-12-31,16,1528,Uruguay,Uruguay,left,184,81,no,11.54,4.537932000000001,2.8288,3.473738,15.197366,8.130310000000001,0.47244,0.292863,0.77,4.474293,ARG1,Testing,2026,0.9338264107883087,0.9150228638797012,0.924424637334005,91,77,54,53,88,94,30,81,53,88,11.54,4.537932000000001,2.8288,3.473738,15.197366,8.130310000000001,0.47244,0.292863,0.77,4.474293,1.526383206193382,0.6856949115620514,0.1628498579293863,0.05541078385910126,1.178376272712795,1.720498436344267,-0.5209961387754638,0.7499726547809321,-0.06550744194110636,1.216249525594789,0.9365427712290887,0.7535472419077953,0.5646816743746603,0.5220943976195591,0.8806766836784596,0.957329061167235,0.3011847305936037,0.7733644128696384,0.473884990626374,0.888055058641694,FAJE
3,A. Maciel,ARG1,32,A. Maciel,Central Córdoba SdE,Central Córdoba SdE,"RCB, CB",RCB,4,29.0,1500000,2027-12-31,14,1364,Argentina,Argentina,right,184,87,yes,11.68,4.879719,3.494421,5.278200000000001,11.876796,6.265836,0.395,0.07,0.53,2.97,ARG1,Testing,2026,0.9283213356640361,0.918307061237655,0.9233141984508457,92,85,81,92,54,71,23,30,34,49,11.68,4.879719,3.494421,5.278200000000001,11.876796,6.265836,0.395,0.07,0.53,2.97,1.612603863518848,1.032077912716505,0.8885547112984807,1.593365404749529,0.02121372743694579,0.621686954200129,-0.6989970554533087,-0.6096360163983674,-0.455803529590217,-0.05487549860302109,0.9465847007111486,0.8489821900324017,0.8128787800744369,0.9444608790438933,0.5084624180820376,0.7329261342273836,0.2422769355093629,0.2710514738771466,0.3242656328894162,0.4781188258706877,ADBC
4,D. Mondino,ARG1,19,D. Mondino,Gimnasia Mendoza,Gimnasia Mendoza,RCB,RCB,4,31.0,375000,2026-12-31,11,952,Argentina,Argentina,right,183,79,no,11.06,5.5811,2.8366,4.91404,12.478536,6.804180000000001,0.38,0.0,0.28,3.027768,ARG1,Testing,2026,0.9231425059390519,0.9049505772275285,0.9140465415832904,87,92,56,87,61,80,21,9,21,50,11.06,5.5811,2.8366,4.91404,12.478536,6.804180000000001,0.38,0.0,0.28,3.027768,1.230769523934643,1.742890365304559,0.1713539433718207,1.282989483980092,0.2309099512763134,0.9389552929076701,-0.7334755387974161,-1.036681362564178,-0.8623619542247072,-0.006061636943185645,0.8907954615293907,0.9593236163377169,0.5680272665247135,0.900252119829614,0.5913076201816994,0.8261231507262501,0.2316342208774161,0.1499421903322842,0.1942441849049567,0.4975817715439353,BDAF
5,C. Ferreira,ARG1,62,C. Ferreira,Atlético Tucumán,Atlético Tucumán,RCB,RCB,4,23.0,0,2026-12-31,10,818,Paraguay,Paraguay,,0,0,no,10.78,3.96,5.06022,4.179889999999999,10.779318,6.160231000000001,0.5499449999999999,0.11,0.55,4.399636999999999,ARG1,Testing,2026,0.9076268884307495,0.9107677689016996,0.9091973286662247,83,50,98,70,36,70,39,44,37,87,10.78,3.96,5.06022,4.179889999999999,10.779318,6.160231000000001,0.5499449999999999,0.11,0.55,4.399636999999999,1.05832820928371,0.09999147455831169,2.595694260231695,0.6572686957746837,-0.3612388141038888,0.5594495689795089,-0.3428458153364613,-0.3656101043036187,-0.4232788556194577,1.153165332683891,0.8550470817463838,0.5398244530797899,0.9952799988366358,0.7444959193769964,0.3589604644422064,0.7120725300441402,0.3658572284184427,0.3573280171211826,0.3360459096959368,0.8755787350951443,CJAD
6,N. Zalazar,ARG1,29,N. Zalazar,Aldosivi,Aldosivi,"RCB, LCB",RCB,4,29.0,300000,2026-12-31,14,1343,Argentina,Argentina,right,185,79,no,8.58,3.620729000000001,3.2192,5.563214999999999,12.664784,7.775876,0.868623,0.33332,1.94,4.48731,ARG1,Testing,2026,0.8696491787965821,0.9173164408777549,0.8934828098371685,39,43,69,95,67,92,69,85,91,90,8.58,3.620729000000001,3.2192,5.563214999999999,12.664784,7.775876,0.868623,0.33332,1.94,4.48731,-0.2965678344021812,-0.243841694007704,0.5884902369968951,1.836285530677967,0.2958142326896054,1.511615851302976,0.3896564590057687,0.9967865629213636,1.837185985348308,1.227248868435567,0.3833982355087256,0.4036767138059996,0.7218983574817317,0.9668422807019067,0.6163140234605278,0.9346841916003393,0.6516047014130008,0.8405659390562111,0.96690877806204,0.8901354664359197,IDFJ
7,L. Di Lollo,ARG1,58,L. Di Lollo,Boca Juniors,Boca Juniors,RCB,RCB,4,22.0,0,2029-12-31,13,1313,Argentina,"Argentina, Italy",right,189,86,no,8.84,4.657744,3.838974,2.603754,18.9873,7.471664999999999,0.4812500000000001,0.07,0.75,3.49564,ARG1,Testing,2026,0.8883836170362935,0.8886415496290253,0.8885125833326595,47,84,91,30,97,91,32,30,52,63,8.84,4.657744,3.838974,2.603754,18.9873,7.471664999999999,0.4812500000000001,0.07,0.75,3.49564,-0.1364437565120305,0.8071180204992466,1.264209602509668,-0.6860822001442953,2.499104242268468,1.332331753056204,-0.5007457762246912,-0.6096360163983674,-0.0980321159118656,0.3892894065845562,0.4457352422022292,0.7902007545876889,0.8969225974248805,0.246330637378315,0.9937746159720197,0.9086244013108379,0.3082750257471107,0.2710514738771466,0.4609533956869654,0.6514689640920729,EFCB
8,J. Galván,ARG1,13,J. Galván,Instituto,Instituto,"RCB, LCB",RCB,4,33.0,400000,2026-12-31,13,1026,Argentina,Argentina,right,180,81,yes,9.3,4.47,3.510997000000001,5.263254000000001,10.703337,6.578236,0.263307,0.0,0.53,3.85833,ARG1,Testing,2026,0.8869354024855799,0.8626808063133148,0.8748081043994475,57,71,83,90,32,76,12,9,34,71,9.3,4.47,3.510997000000001,5.263254000000001,10.703337,6.578236,0.263307,0.0,0.53,3.85833,0.1468526889859292,0.6168494316742118,0.9066269831310203,1.580626832386227,-0.3877169089347777,0.8057971681381237,-1.001702049255677,-1.036681362564178,-0.455803529590217,0.6957618391667086,0.5583758521659629,0.7313329781022206,0.8176979561672221,0.9430183065434972,0.3491127706193512,0.7898200944115521,0.1582437583308912,0.1499421903322842,0.3242656328894162,0.7567110043667713,DCFJ
9,G. Maffini,ARG1,15,G. Maffini,Estudiantes Río Cuarto,Estudiantes Río Cuarto,"RCB, LCB",RCB,4,33.0,100000,2026-12-31,12,1178,Argentina,Argentina,right,191,86,no,9.55,3.972609,4.81372,3.894912,10.620558,5.269935,0.306636,0.0,0.23,2.444226,ARG1,Testing,2026,0.8579193257444429,0.872809725323855,0.8653645255341491,63,52,97,66,30,47,15,9,11,36,9.55,3.972609,4.81372,3.894912,10.620558,5.269935,0.306636,0.0,0.23,2.444226,0.3008181484956897,0.1127700274627711,2.326943354903465,0.4143801051852942,-0.4165639919161296,0.03476139027227122,-0.9021075022678889,-1.036681362564178,-0.9436736391516053,-0.4991536335624867,0.6182234157315141,0.5448935593255951,0.9900158598518644,0.6607021216733183,0.3384986759004455,0.5138649959444559,0.1834998819834046,0.1499421903322842,0.1726682243759154,0.3088355780249604,CDAB
10,L. Martínez Quarta,ARG1,26,L. Martínez Quarta,River Plate,River Plate,RCB,RCB,4,30.0,0,2028-12-31,19,1887,Argentina,"Argentina, Italy",right,183,78,no,8.68,4.051439999999999,2.57376,3.4839,19.127784,7.056622999999999,0.86,0.28613,2.72,4.527419999999999,ARG1,Testing,2026,0.868670143451164,0.8541763010585482,0.8614232222548562,45,56,45,54,98,83,67,80,97,91,8.68,4.051439999999999,2.57376,3.4839,19.127784,7.056622999999999,0.86,0.28613,2.72,4.527419999999999,-0.2349816505982772,0.192661065928267,-0.1152119306909457,0.06407192211387684,2.54806054284654,1.087730372091886,0.3698359282140194,0.7088969931275837,3.105648270207918,1.261141750155134,0.407111487609855,0.5763877914935318,0.4541385711632173,0.5255435205988348,0.9945838165020744,0.8616429222666866,0.6442476282773297,0.7608057994038758,0.9990506879626012,0.8963711095762934,IEJF
11,R. Riquelme,ARG1,66,R. Riquelme,Argentinos Juniors,Argentinos Juniors,LCB,LCB,4,24.0,0,2028-12-31,13,1346,Argentina,Argentina,right,186,75,no,8.02,3.943104000000001,3.34332,4.543909999999999,14.24073,5.81671,1.003368,0.2,2.14,4.142992,ARG1,Testing,2026,0.8367143751600657,0.8350100853558338,0.8358622302579499,22,47,76,78,81,66,83,67,94,81,8.02,3.943104000000001,3.34332,4.543909999999999,14.24073,5.81671,1.003368,0.2,2.14,4.142992,-0.6414504637040449,0.0828682744731552,0.7238142222680509,0.967525293639605,0.845004788701764,0.3569984652592971,0.6993766748858851,0.183448197909566,2.1624327250559,0.9363007445782184,0.2606150276165544,0.5330218597243406,0.7654101016517962,0.8333592484559094,0.8009459173152398,0.6394535226590299,0.7578416696022436,0.5727768194959553,0.9847075812962429,0.8254408175416501,IDJE
12,J. Ludueña,ARG1,63,J. Ludueña,Unión Santa Fe,Unión Santa Fe,LCB,LCB,4,23.0,0,2026-12-31,17,1553,Argentina,Argentina,right,176,75,no,8.46,4.40327,3.364,3.822975,11.995404,5.157888000000001,0.6360300000000001,0.116,1.27,3.420417,ARG1,Testing,2026,0.8381015684353451,0.7929090528611218,0.8155053106482335,37,69,78,63,57,46,49,46,78,61,8.46,4.40327,3.364,3.822975,11.995404,5.157888000000001,0.6360300000000001,0.116,1.27,3.420417,-0.3704712549668657,0.5492221150500081,0.7463609513641475,0.353067735313834,0.06254661160143501,-0.03127253143422815,-0.1449737994246287,-0.3290062174894064,0.7476094073278741,0.3257260996388804,0.3555156952653299,0.7085734852997292,0.7722752994742106,0.6379811696633437,0.5249362280572009,0.4875260982149976,0.4423657791254703,0.3710754942734498,0.7726521056176301,0.6276842022145075,ICBD
13,M. Rodríguez,ARG1,60,M. Rodríguez,Unión Santa Fe,Unión Santa Fe,RCB,RCB,4,23.0,0,2028-12-31,18,1692,Uruguay,Uruguay,,0,0,no,7.66,4.093497,4.148242,3.404654,11.433536,5.584062,0.691353,0.106672,0.8,3.773476,ARG1,Testing,2026,0.8426547424411123,0.7858103609964557,0.8142325517187841,18,59,92,50,42,56,54,42,56,69,7.66,4.093497,4.148242,3.404654,11.433536,5.584062,0.691353,0.106672,0.8,3.773476,-0.8631607253980995,0.2352836053447851,1.601394409767481,-0.003469955679661239,-0.133254893859691,0.2198893965901344,-0.01781025715489221,-0.3859130601899018,-0.01672043098496749,0.6240603536161671,0.1940245520285676,0.593005690483978,0.9453552049362619,0.4986156907462485,0.4469958994352172,0.5870213527407584,0.4928951110161032,0.3497805289236593,0.4933298239349906,0.7337060251662695,CJBF
14,J. Insaurralde,ARG1,0,J. Insaurralde,Sarmiento,Sarmiento,LCB,LCB,4,41.0,200000,2026-12-31,13,1205,Argentina,Argentina,left,188,87,no,8.59,2.611843,3.285911,5.678501,13.0698,7.246899000000001,0.595496,0.222,0.97,3.50952,ARG1,Testing,2026,0.795873393963273,0.8147230323160229,0.805298213139648,41,12,74,97,70,87,43,69,68,64,8.59,2.611843,3.285911,5.678501,13.0698,7.246899000000001,0.595496,0.222,0.97,3.50952,-0.2904092160217909,-1.266294158562278,0.6612230631443661,1.934544533319184,0.4369554661035811,1.199867872307206,-0.2381438556826321,0.3176624495616778,0.2597392977664857,0.4010179829562245,0.3857515970022193,0.1027038937613245,0.7457653635745449,0.9734768939122268,0.6689281773168545,0.8849046703888128,0.405884760543565,0.6246295011031995,0.602467561279326,0.6557965579551874,DFCE
15,J. Laso,ARG1,7,J. Laso,Tigre,Tigre,RCB,RCB,4,35.0,300000,2026-12-31,14,1324,Argentina,Argentina,right,185,79,no,9.52,3.600828,2.449449,5.436558,14.276875,8.426730000000001,0.5448299999999999,0.14,0.34,5.033030999999999,ARG1,Testing,2026,0.8067344027076141,0.7996363857920993,0.8031853942498568,61,39,40,94,83,95,38,51,26,94,9.52,3.600828,2.449449,5.436558,14.276875,8.426730000000001,0.5448299999999999,0.14,0.34,5.033030999999999,0.2823422933545177,-0.2640103022519475,-0.2507441570287048,1.728334951270854,0.8576007105462055,1.89519097672679,-0.3546029781568019,-0.1825906702325571,-0.7647879323124295,1.688382184438667,0.6111594706247333,0.3958859901356936,0.4010059593107101,0.9580359048483228,0.8044435087133549,0.9709664474238177,0.3614435223637643,0.4275596026760159,0.2221989174330505,0.9543310559412379,FDJE
16,M. Di Cesare,ARG1,67,M. Di Cesare,Racing Club,Racing Club,"RCB, LCB",RCB,4,24.0,0,2027-12-31,15,1378,Argentina,"Argentina, Italy",right,186,86,no,9.14,3.200748,2.676303,4.504829999999999,12.997985,6.795109,0.9803310000000001,0.26,1.37,4.049856,ARG1,Testing,2026,0.7761195357926968,0.8265096844074055,0.8013146101000512,52,23,49,76,69,78,78,76,84,78,9.14,3.200748,2.676303,4.504829999999999,12.997985,6.795109,0.9803310000000001,0.26,1.37,4.049856,0.04831479489968246,-0.6694701679047502,-0.00341264434176662,0.9342171571510579,0.4119291518897605,0.9336093782129465,0.6464246201660051,0.5494870660516891,0.9102327771816703,0.8576009831263693,0.5192673181505063,0.2515978022315081,0.4986385545266949,0.8249040563951431,0.65980432357,0.8247472870326955,0.7409977999405404,0.7086643808584695,0.8186501191663538,0.8044435839963748,DFIJ
17,C. Izquierdoz,ARG1,1,C. Izquierdoz,Lanús,Lanús,RCB,RCB,4,37.0,800000,2026-06-30,14,1365,Argentina,"Argentina, Italy",right,185,88,no,7.38,2.968472,3.360532,5.277555,15.693537,7.122531,0.721875,0.07,0.46,4.021731,ARG1,Testing,2026,0.8070329454748147,0.7907164183667243,0.7988746819207697,12,18,77,91,91,85,57,30,29,77,7.38,2.968472,3.360532,5.277555,15.693537,7.122531,0.721875,0.07,0.46,4.021731,-1.035602040049031,-0.9048695774087752,0.7425799041443575,1.592815667082304,1.351283483598896,1.126572676766103,0.05234656075369756,-0.6096360163983674,-0.5696398884878742,0.8338354060043833,0.1501939199284382,0.1827672429156708,0.7711319705616955,0.9443992253001144,0.9116976796413956,0.8700384016070071,0.5208737229846456,0.2710514738771466,0.2844609841474253,0.7978131296730417,DEFJ
18,N. Meriano,ARG1,53,N. Meriano,Banfield,Banfield,LCB,LCB,4,25.0,1200000,2026-12-31,12,872,Argentina,"Argentina, Italy",left,191,84,yes,13.73,7.225308,1.960182,3.51058,11.665485,6.090236,0.514224,0.0,0.83,3.925018000000001,ARG1,Testing,2026,0.7603844153067895,0.8136807607155545,0.7870325880111722,98,98,23,56,49,69,35,9,59,74,13.73,7.225308,1.960182,3.51058,11.665485,6.090236,0.514224,0.0,0.83,3.925018000000001,2.875120631498884,3.40920798874303,-0.7841759996138047,0.08681145848835095,-0.05242458604681911,0.5181986265192331,-0.4249528755721184,-1.036681362564178,0.0320665799711712,0.7521130856417669,0.997980634191072,0.999674241067405,0.2164684229140749,0.534589310272432,0.4790951921086221,0.69784015351195,0.3354355140129943,0.1499421903322842,0.5127905224918748,0.774008472368723,BAJF
19,D. Martínez,ARG1,40,D. Martínez,Defensa y Justicia,Defensa y Justicia,LCB,LCB,4,28.0,1500000,2026-12-31,12,1002,Argentina,"Argentina, Paraguay",left,185,76,yes,10.69,3.953894,0.62764,4.850405,17.69554,10.057746,0.630054,0.18,1.35,5.838092000000001,ARG1,Testing,2026,0.7891146901539101,0.7691848504183656,0.779149770286138,80,49,1,85,94,98,47,63,83,97,10.69,3.953894,0.62764,4.850405,17.69554,10.057746,0.630054,0.18,1.35,5.838092000000001,1.002900643860196,0.09380336733056725,-2.237003053925733,1.228752962346296,2.048947706045611,2.856416023769979,-0.1587100271889213,0.06143524186219153,0.8777081032109111,2.368657358959665,0.8420455990276401,0.537367321630425,0.01264307022085014,0.8904177788569764,0.9797663856385546,0.997857733366397,0.4369486688815074,0.5244937067961335,0.8099489270508693,0.9910736079365747,FJED
20,F. Miño,ARG1,48,F. Miño,Deportivo Riestra,Deportivo Riestra,"RCB, LCB",RCB,4,26.0,150000,2026-12-31,15,1050,Argentina,Argentina,right,183,80,yes,10.11,5.743080000000001,1.885,4.541306000000001,9.08733,6.601,0.5989059999999999,0.344,0.34,3.340332,ARG1,Testing,2026,0.7642667694335571,0.7578328551132866,0.7610498122734219,74,97,18,77,16,77,45,87,26,57,10.11,5.743080000000001,1.885,4.541306000000001,9.08733,6.601,0.5989059999999999,0.344,0.34,3.340332,0.6457007777975522,1.907048506272469,-0.8661444806052327,0.9653058876156521,-0.9508680466320973,0.8192129328951161,-0.2303057471357385,1.061941481450661,-0.7647879323124295,0.2580544109699299,0.7407634216130027,0.9717428467594816,0.1932054675441964,0.8328041881380739,0.1708356821343583,0.7936675312854763,0.4089270975344527,0.8558688740139184,0.2221989174330505,0.6018175425197793,BHDF
21,L. Rivero,ARG1,59,L. Rivero,River Plate,River Plate,LCB,LCB,4,22.0,0,2029-12-31,18,1756,Argentina,Argentina,,183,78,no,8.46,3.484836,2.77095,3.53524,16.912459,5.583645000000001,0.8724299999999999,0.26,1.38,4.15272,ARG1,Testing,2026,0.7388657509178844,0.7617265122646137,0.7502961315912491,37,36,52,57,92,54,70,76,85,83,8.46,3.484836,2.77095,3.53524,16.912459,5.583645000000001,0.8724299999999999,0.26,1.38,4.15272,-0.3704712549668657,-0.3815620437456484,0.09977789089799416,0.1078293358119841,1.776057207391115,0.2196436412789561,0.3984070980785029,0.5494870660516891,0.9264951141670495,0.9445208880179589,0.3555156952653299,0.3513931212471074,0.5397396695247555,0.5429344640279153,0.9621382557522066,0.586925649785934,0.6548349367196438,0.7086643808584695,0.822905632480018,0.827548233533433,EJIH
22,G. Hernández,ARG1,39,G. Hernández,San Lorenzo,San Lorenzo,LCB,LCB,4,28.0,4000000,2027-12-31,9,870,Argentina,"Argentina, Spain",left,185,78,no,11.9,4.551403,3.414,2.273323,11.4825,2.89713,1.756584,0.723354,1.45,2.173952,ARG1,Testing,2026,0.7628800704026574,0.6988623508387137,0.7308712106206856,95,78,80,21,46,8,97,97,88,26,11.9,4.551403,3.414,2.273323,11.4825,2.89713,1.756584,0.723354,1.45,2.173952,1.748093467887438,0.6993470557587326,0.8008743195848841,-0.9677106762969904,-0.1161917670872133,-1.363630530928572,2.430693028920229,3.376246627870445,1.040331473064707,-0.7275347034671124,0.9597760780461382,0.7578324167829122,0.78839779582304,0.1665944423141761,0.4537502807359307,0.08634193903313342,0.9924650118296117,0.9996325899092859,0.8509070365970024,0.2334492321281775,HGAI
23,F. Pardo,ARG1,31,F. Pardo,Racing Club,Racing Club,RCB,RCB,4,29.0,700000,2028-12-31,14,854,Argentina,Argentina,right,183,80,no,5.16,2.211731,3.5836,4.425,10.96084,7.273940000000001,0.63,0.11,0.74,3.583235,ARG1,Testing,2026,0.7603040850215179,0.6951524356947876,0.7277282603581529,0,2,85,73,38,88,46,44,50,66,5.16,2.211731,3.5836,4.425,10.96084,7.273940000000001,0.63,0.11,0.74,3.583235,-2.402815320495704,-1.671786454518273,0.9857836645896217,0.8661775323844062,-0.2979814638466854,1.215804249692281,-0.1588341497289601,-0.3656101043036187,-0.1142944528972452,0.4633070324690133,0.008134700748059383,0.04728321940071003,0.8378803582662979,0.8068035938176219,0.3828586555230447,0.8879702502182703,0.4368997713711679,0.3573280171211826,0.4545021898159944,0.6784278471437772,FCDJ
24,R. Giampaoli,ARG1,50,R. Giampaoli,Gimnasia La Plata,Gimnasia La Plata,"RCB, LCB",RCB,4,26.0,1000000,2026-12-31,16,1382,Argentina,"Argentina, Italy",right,187,80,yes,11.98,4.560792000000001,3.580625,2.410416,11.78775,4.621522,0.26,0.07,0.26,1.69316,ARG1,Testing,2026,0.7253075555549606,0.7065602869375991,0.7159339212462799,97,81,84,26,52,39,11,30,16,11,11.98,4.560792000000001,3.580625,2.410416,11.78775,4.621522,0.26,0.07,0.26,1.69316,1.797362414930561,0.7088623094045402,0.9825401191804877,-0.8508654266648389,-0.009817299165906412,-0.347375153102175,-1.009303405550275,-0.6096360163983674,-0.8948866281954664,-1.133803125000759,0.9638609482670781,0.7607950368079022,0.8370830858592665,0.1974220560833377,0.4960835271946636,0.3641547487260176,0.1564145736881732,0.2710514738771466,0.1854238477673298,0.1284385699399372,ACBE
25,T. Palacios,ARG1,61,T. Palacios,Estudiantes,Estudiantes,LCB,LCB,4,23.0,0,2029-06-30,12,1102,Argentina,Argentina,left,195,80,yes,8.25,3.26796,2.534574,2.778204,15.189024,6.287316000000001,2.611298000000001,0.7363799999999999,2.04,3.837105,ARG1,Testing,2026,0.7076839153444953,0.720887215067588,0.7142855652060417,29,26,43,35,87,73,98,98,92,70,8.25,3.26796,2.534574,2.778204,15.189024,6.287316000000001,2.611298000000001,0.7363799999999999,2.04,3.837105,-0.499802240955065,-0.6013543698387229,-0.1579351476329011,-0.5373973380555757,1.175469226647604,0.6343460047615509,4.395309189785258,3.455713666144099,1.999809355202104,0.6778267502986501,0.3086071662706211,0.273801991858558,0.4372539509082653,0.2954965908382757,0.8800964790959631,0.7370724803442719,0.9999944692403604,0.9997255809962691,0.9772395729924093,0.7510592260032107,GHIE
26,G. Ávila,ARG1,69,G. Ávila,Rosario Central,Rosario Central,LCB,LCB,4,24.0,5000000,2028-06-30,13,1132,Argentina,Argentina,left,182,80,yes,6.84,2.944128,2.38221,4.848798,13.435292,7.39623,0.79407,0.16,1.11,5.087058,ARG1,Testing,2026,0.702469442054558,0.7119919308267659,0.707230686440662,7,16,36,84,73,90,61,55,74,95,6.84,2.944128,2.38221,4.848798,13.435292,7.39623,0.79407,0.16,1.11,5.087058,-1.368167432590114,-0.9295409305617743,-0.3240526443445865,1.227383305863771,0.5643232532599911,1.287874794066408,0.2182915010888863,-0.06057771418518277,0.4874120155618005,1.734034907466917,0.08562983657729606,0.1763044117611863,0.3729490891557528,0.8901607210266747,0.713732920512977,0.9011052245125186,0.5863990020260459,0.4758477612126181,0.6870168098708653,0.9585440551682838,JFDE
27,S. Vittor,ARG1,4,S. Vittor,Banfield,Banfield,"LCB, CB",LCB,4,36.0,0,2026-12-31,13,1086,Argentina,Argentina,right,189,86,no,10.94,3.89412,1.90325,4.559499999999999,11.10294,5.800911,0.83,0.328,0.99,2.898839999999999,ARG1,Testing,2026,0.7014996356921624,0.7113218116651063,0.7064107236786344,85,46,19,80,39,64,64,84,70,46,10.94,3.89412,1.90325,4.559499999999999,11.10294,5.800911,0.83,0.328,0.99,2.898839999999999,1.156866103369957,0.03322558786263426,-0.8462471012046638,0.9808127513636704,-0.2484620145702963,0.3476874624743859,0.3008789615258046,0.964331116612762,0.292263971737245,-0.1150055774652625,0.8763364652859387,0.5132526533897374,0.1987074555465511,0.8366574555349755,0.4018884783550462,0.6359625432951249,0.6182466031683717,0.8325600274252397,0.6149575984110758,0.4542203506010348,ADHF
28,L. Souto,ARG1,45,L. Souto,Defensa y Justicia,Defensa y Justicia,"RCB, RB",RCB,4,27.0,1200000,2026-12-31,15,1432,Argentina,"Argentina, Italy",right,180,73,no,9.99,4.145976,2.454,2.13876,11.94522,5.40225,1.633326,0.313605,0.88,2.956086,ARG1,Testing,2026,0.7225177212248985,0.6849121563182213,0.70371493877156,72,60,42,14,56,49,95,83,63,47,9.99,4.145976,2.454,2.13876,11.94522,5.40225,1.633326,0.313605,0.88,2.956086,0.5717973572328677,0.2884682891320112,-0.2457823502532532,-1.082399590583287,0.04505833544037743,0.1127400809163359,2.147376435585031,0.8765122914976644,0.1133782648980693,-0.06663280491681008,0.7162703660409886,0.6135058495560909,0.4029253602494953,0.1395375050690823,0.5179695944137684,0.5448816880861371,0.9841183374522192,0.8096242013607214,0.5451346646562399,0.4734370146121415,GHAB
29,S. Núñez,ARG1,52,S. Núñez,Estudiantes,Estudiantes,RCB,RCB,4,26.0,0,2028-12-31,10,754,Argentina,Argentina,right,186,86,no,10.86,4.654179,3.22335,2.386125,12.655254,4.65682,0.835,0.240012,0.12,1.430968,ARG1,Testing,2026,0.7055095345635559,0.691954255605178,0.6987318950843671,84,83,70,23,66,40,66,72,7,5,10.86,4.654179,3.22335,2.386125,12.655254,4.65682,0.835,0.240012,0.12,1.430968,1.107597156326834,0.803505082034309,0.5930148465592163,-0.8715688029044326,0.2924931886952073,-0.3265725848192578,0.3123717893071737,0.4275473177779431,-1.122559345990781,-1.35535491866361,0.8659820839515391,0.7891585697148112,0.7234143917896708,0.1917218280242056,0.6150452165303366,0.3719955908571486,0.6226210063282039,0.6655096358383186,0.1308123447916624,0.08765225271597932,ABCH
